,Año,Trimestre,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
0,2022,4,1000,6000,3000,573,222,10795
1,2022,3,1000,6000,3000,557,235,10792
2,2022,2,1000,6000,3000,556,232,10788
3,2022,1,2000,6000,2000,546,252,10798
4,2021,4,2000,6000,2000,523,253,10776
5,2021,3,2000,6000,2000,492,250,10742
6,2021,2,2000,6000,1000,477,254,9731
7,2021,1,2000,5000,1000,435,250,8685
8,2020,4,2000,5000,1000,422,253,8675
9,2020,3,2000,5000,1000,413,249,8662
10,2020,2,2000,5000,1000,377,247,8624
11,2020,1,2000,5000,1000,352,209,8561
12,2019,4,2000,5000,941,340,213,8494
13,2019,3,3000,5000,852,338,264,9454
14,2019,2,3000,5000,761,308,265,9334
15,2019,1,3000,4000,637,276,166,8079
16,2018,4,3000,4000,388,264,178,7830
17,2018,3,4000,4000,247,246,94,8587
18,2018,2,4000,4000,226,194,95,8515
19,2018,1,4000,4000,217,165,99,8481
20,2017,4,4000,4000,211,156,101,8468
21,2017,3,4000,4000,194,106,132,8432
22,2017,2,4000,3000,181,86,56,7323
23,2017,1,4000,3000,180,85,56,7321
24,2016,4,4000,3000,178,85,55,7318
25,2016,3,4000,3000,170,81,54,7305
26,2016,2,4000,3000,168,85,59,7312
27,2016,1,4000,3000,164,85,59,7308
28,2015,4,4000,3000,139,86,59,7284
29,2015,3,4000,3000,163,85,59,7307
30,2015,2,4000,3000,151,82,59,7292
31,2015,1,4000,3000,168,79,66,7313
32,2014,4,4000,3000,150,77,72,7299
33,2014,3,4000,3000,155,85,70,7310
34,2014,2,4000,2000,149,72,72,6293
35,2014,1,4000,2000,150,71,73,6294
